"","x"
"1",-2.98
"2",-0.36
"3",0
"4",-8.51
"5",-5.53
"6",-0.14
"7",-0.44
"8",12.02
"9",-1.06
"10",-0.00999999999999979
"11",-0.35
"12",-0.0899999999999999
"13",-0.25
"14",-4.81
"15",-26.32
"16",-0.0899999999999999
"17",5.71
"18",-0.74
"19",-1.25
"20",1.29
"21",-0.43
"22",-0.12
"23",-0.0899999999999999
"24",-0.95
"25",-10.82
"26",-0.78
