"","predictions1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1",-2.75956071333481,-2.75788331500154,-2.75398535833485,-2.75391692333481,-2.75471899000147,-2.75478629000149,-2.75303321666817,-2.7544725000015,-2.74465231833481,-2.75960857166815,-2.76428232166812,-2.75108521666817,-2.75449538666815,-2.76121941500148,-2.77678806000144,-2.76797527000148,-2.76443569500145,-2.76105945833478,-2.76328992333484,-2.75213895666815,-2.74849427500153,-2.75523999833483,-2.75733759500146,-2.76908033333481,-2.75185380500146,-2.7538336450015,-2.75636282833481,-2.76239966500147,-2.76502272000146,-2.74646315000151,-2.76644547166813,-2.76036854333479,-2.76074728166817,-2.75926858000144,-2.77065076833479,-2.7520712783348,-2.76086661166816,-2.76423920333485,-2.76706749666808,-2.74658886000153,-2.75374006833484,-2.76079061500147,-2.75615210166813,-2.76397777000145,-2.75241945833482,-2.7503899600015,-2.75431598000156,-2.75464836333483,-2.75418790833481,-2.75819104666806,-2.76773541500148,-2.75382217000147,-2.75160399000151,-2.7550577600015,-2.74562168333485,-2.76570831000145,-2.77485540166809,-2.75701068333482,-2.7626385516682,-2.76785258166814,-2.7594879683348,-2.75823501666813,-2.76769706666814,-2.76886965500146,-2.75493598666819,-2.74952840166816,-2.74528858333487,-2.75409014000147,-2.75698641000149,-2.77110079500148,-2.75588894500148,-2.75766688500148,-2.75680222000146,-2.76732400166811,-2.7699855916681,-2.76258363833482,-2.7682418616681,-2.76107015333484,-2.75708324166814,-2.73601066333486,-2.75583604666812,-2.75201956166815,-2.75016502000153,-2.75034725000152,-2.77135414666808,-2.77376203333476,-2.75492850000149,-2.74720637500149,-2.77402728666811,-2.7529983500015,-2.76709785833482,-2.76311479166814,-2.7680541983348,-2.76087453833477,-2.76932730333479,-2.75976487166814,-2.76542250666809,-2.76093248166814,-2.75422170833484,-2.76310357666811
"2",-0.503457860000024,-0.499244511666685,-0.484544265000013,-0.492223778333355,-0.497206245000007,-0.484861570000014,-0.493421450000019,-0.499751145000017,-0.491821175000022,-0.492591871666682,-0.493115725000021,-0.489336038333356,-0.492302245000027,-0.491471126666688,-0.482243288333352,-0.492848863333347,-0.489428736666688,-0.498323856666679,-0.48212599000002,-0.49409577833335,-0.498947068333349,-0.488763865000017,-0.486179451666671,-0.502145380000018,-0.49369782666669,-0.496999798333347,-0.491908955000015,-0.484510760000018,-0.496223080000021,-0.496534506666676,-0.504216143333345,-0.50111694333335,-0.497854790000024,-0.487389570000017,-0.496111056666689,-0.493590995000009,-0.497640076666688,-0.490833798333347,-0.492548825000018,-0.49356338166668,-0.500029380000016,-0.495520900000018,-0.503051203333361,-0.494858656666684,-0.495184551666679,-0.501280691666683,-0.493586246666683,-0.493801990000015,-0.493685768333357,-0.488549625000015,-0.492077593333348,-0.491606676666686,-0.489528885000018,-0.503458963333349,-0.486917958333348,-0.494495330000015,-0.504100385000016,-0.495538618333353,-0.494141678333351,-0.497638900000011,-0.495722478333349,-0.497713295000017,-0.491193465000011,-0.500938431666684,-0.490134333333352,-0.495544806666679,-0.50043372500002,-0.488653463333354,-0.48903995000001,-0.504402618333348,-0.489531460000013,-0.488742481666681,-0.497087990000017,-0.502637518333347,-0.490429600000016,-0.494173450000014,-0.488989813333344,-0.493446931666687,-0.49016793500002,-0.50345651333335,-0.48834867333335,-0.493539743333348,-0.500373513333351,-0.497756086666679,-0.486984768333345,-0.501156996666686,-0.492662088333351,-0.50087696500003,-0.491161173333346,-0.493891240000013,-0.492881958333345,-0.490869350000013,-0.501468845000019,-0.494783643333353,-0.486735875000021,-0.484087801666679,-0.49320656833335,-0.487586503333355,-0.495057318333355,-0.499006161666687
"3",-0.318600923333451,-0.31556358833345,-0.32388404500013,-0.314871068333454,-0.331123963333457,-0.31616687666679,-0.323753413333455,-0.311576188333456,-0.317713005000123,-0.324588956666796,-0.317325505000119,-0.311826796666784,-0.321660766666794,-0.320388910000126,-0.327543410000123,-0.33052896833345,-0.316217298333456,-0.315242268333448,-0.317900386666789,-0.32255613833346,-0.324722686666788,-0.321467636666786,-0.32477044500013,-0.318467525000122,-0.319691451666785,-0.313238733333452,-0.312646025000122,-0.32017931166679,-0.322793591666794,-0.313526521666787,-0.310099243333451,-0.321587623333457,-0.325293380000128,-0.311161296666778,-0.310904880000121,-0.320792946666783,-0.315988686666781,-0.321405211666792,-0.307607171666783,-0.298805123333447,-0.319527260000119,-0.313620743333448,-0.320938788333458,-0.317322631666787,-0.309766486666786,-0.33023920500012,-0.32233389000013,-0.323580328333462,-0.315197476666783,-0.322692081666796,-0.317280690000128,-0.314997780000115,-0.320209580000119,-0.315744433333451,-0.31522243166679,-0.315774818333456,-0.309089578333454,-0.311676670000119,-0.326130838333461,-0.311423993333451,-0.322868233333454,-0.325086890000124,-0.315163393333452,-0.319610573333463,-0.325762223333459,-0.309411118333451,-0.317115406666789,-0.314982410000122,-0.320141511666795,-0.308964091666784,-0.322036675000123,-0.320420951666793,-0.315624626666792,-0.319093078333456,-0.312111850000124,-0.307953225000116,-0.317735290000119,-0.313232018333451,-0.323996720000125,-0.324578181666795,-0.32035390666679,-0.314598896666784,-0.322669690000128,-0.320641365000124,-0.313069330000121,-0.32198815666679,-0.315608045000119,-0.319082975000121,-0.325097166666794,-0.314902098333447,-0.325069533333457,-0.314436431666786,-0.312197976666781,-0.320513108333456,-0.317736373333457,-0.313316575000127,-0.325419186666791,-0.320996423333458,-0.324209705000126,-0.32195965333346
"4",-6.23596207166788,-6.23759895333456,-6.22829798333465,-6.2466699133346,-6.22687158000126,-6.22663478166793,-6.23471398666803,-6.22086329000143,-6.23048118000127,-6.23181670333463,-6.23716194833457,-6.23583922500129,-6.20248765000138,-6.23300728500142,-6.23290316333476,-6.24999702000137,-6.25740711000136,-6.22578103833466,-6.24098575166801,-6.24062235000131,-6.26153712000133,-6.23124353333466,-6.23831916000145,-6.24707971500131,-6.25519457500144,-6.22522843333467,-6.22781468166801,-6.22114471666801,-6.23883456666803,-6.24883931166799,-6.23704284333463,-6.24151795666806,-6.22250385500129,-6.21802495500133,-6.23812228166805,-6.23901292000131,-6.26101569666805,-6.22011655500133,-6.22825230166796,-6.22399415666795,-6.24542993000128,-6.22146239666802,-6.21745997166798,-6.26613606666798,-6.26387499000137,-6.24261983833464,-6.21876425666794,-6.23314909500127,-6.22325814000128,-6.20228143666786,-6.21163741166798,-6.2204109250013,-6.21495437166797,-6.21074457833453,-6.24687409833468,-6.24128990500138,-6.23215862000128,-6.22447129000127,-6.267633706668,-6.22554739666785,-6.2408615383347,-6.21498171666797,-6.22458884000127,-6.23232345666797,-6.24538989166801,-6.22631667000132,-6.23066861166798,-6.23186607833453,-6.22006269500127,-6.23108793833468,-6.22659628166803,-6.19726813333457,-6.21157428000129,-6.2351175766679,-6.2039195550013,-6.210960476668,-6.25120179166797,-6.20335379500123,-6.2086683383346,-6.22172747500134,-6.22794474833463,-6.22422102833467,-6.26545909333469,-6.19307686500118,-6.24138755666802,-6.22969269000128,-6.24215951500136,-6.25314291333473,-6.21665802333467,-6.2315900950014,-6.23078844166806,-6.23316792666793,-6.23198100666801,-6.23095947333462,-6.24603767666802,-6.22208488833458,-6.24211851833468,-6.22713225166799,-6.23003231666802,-6.24609950166805
"5",-5.54315753166696,-5.53498714333355,-5.54950822333367,-5.55499943833362,-5.55876201500031,-5.54575236666689,-5.54276930666693,-5.54750262333369,-5.52966395500022,-5.55786542666691,-5.57100727000037,-5.55737443166697,-5.5428508283337,-5.57302857666703,-5.55685962833366,-5.52749427666702,-5.53109698666702,-5.55338099833361,-5.5546164433336,-5.53755978666695,-5.54493448666694,-5.57056579666698,-5.54390114166701,-5.54043351333358,-5.53378719333363,-5.5564745583336,-5.54184495000032,-5.55304967666702,-5.54672889666701,-5.52872183333367,-5.56709961000033,-5.53894201666697,-5.56241459333359,-5.53062743000025,-5.54051351333367,-5.54152845666695,-5.54297677333365,-5.56425552166707,-5.54362519333364,-5.53580270833361,-5.53440695500029,-5.54428247166698,-5.53144543666705,-5.5425674750003,-5.53527291833359,-5.5275590683336,-5.53624517166692,-5.54251451500027,-5.53701269666688,-5.53135001500033,-5.52125609000026,-5.53284993166699,-5.55477961833365,-5.52586452000029,-5.52593793166691,-5.54262528000031,-5.55340164000034,-5.53472133833366,-5.56210944166697,-5.51256403166688,-5.55744365000032,-5.56075694000035,-5.5400382350003,-5.540593576667,-5.53817969500035,-5.53252898833362,-5.54166201166696,-5.53418898666696,-5.56856977000036,-5.5314508283336,-5.53953831666699,-5.55993855000037,-5.57680251833358,-5.53779223666706,-5.54668905166697,-5.57198824833375,-5.53291709333364,-5.55715937666692,-5.5424650666671,-5.512366151667,-5.54981562166703,-5.54808901166701,-5.53726839500033,-5.52833426833356,-5.52134959666697,-5.55436042166706,-5.5377541850002,-5.53294514833365,-5.55445717833364,-5.54420914333369,-5.5437315350003,-5.56147897666698,-5.54973494333361,-5.55890371666697,-5.56643745666694,-5.54388573166686,-5.52296315166697,-5.53695310666693,-5.54911307000035,-5.55673630666703
"6",-0.431154111666648,-0.423740768333315,-0.432730024999973,-0.430027593333307,-0.434151449999975,-0.445806908333296,-0.43150424499998,-0.436267681666646,-0.423841294999987,-0.430051403333301,-0.424942349999975,-0.440782149999974,-0.417911811666653,-0.420840041666654,-0.433347484999974,-0.437558291666646,-0.405394159999988,-0.452416519999971,-0.445635448333309,-0.422097118333318,-0.445995306666635,-0.441056708333309,-0.431893536666645,-0.43075096499997,-0.435648771666646,-0.427543751666646,-0.445461963333304,-0.428746536666649,-0.427903593333321,-0.423921131666645,-0.435741729999976,-0.432915629999986,-0.426593439999983,-0.42994748499998,-0.424965154999977,-0.420885343333322,-0.450735823333302,-0.432550929999974,-0.428017003333321,-0.418670688333315,-0.426298851666639,-0.404542833333327,-0.432848829999981,-0.427985108333309,-0.439444604999973,-0.413692066666652,-0.42912590166664,-0.420528169999975,-0.44153570166665,-0.435199691666643,-0.442021001666639,-0.444121446666646,-0.41450603666666,-0.433164101666645,-0.421798618333317,-0.418772759999986,-0.42402546333331,-0.455446159999962,-0.417530396666656,-0.444938053333308,-0.431599944999979,-0.437527896666637,-0.418576099999982,-0.432564116666642,-0.435838329999975,-0.442536379999971,-0.432465779999981,-0.41917110999999,-0.432023709999979,-0.422477778333316,-0.421251888333316,-0.426162898333315,-0.44074745666665,-0.417248016666648,-0.438749129999965,-0.420192138333318,-0.444672106666643,-0.428600414999985,-0.410940768333321,-0.43853574999997,-0.450753559999967,-0.435664669999977,-0.419341388333319,-0.419851609999985,-0.445277893333306,-0.442989358333318,-0.44223613999998,-0.43469337999998,-0.43311372999997,-0.434916709999975,-0.41826553166665,-0.41950961999999,-0.434501233333311,-0.442289451666643,-0.441379104999957,-0.444484288333306,-0.434031951666644,-0.419569689999979,-0.438616859999968,-0.412005774999981
"7",-0.961070416666643,-0.945047166666662,-0.947460764999989,-0.944185534999998,-0.943757976666669,-0.942678399999981,-0.951485151666662,-0.938758753333326,-0.940256359999987,-0.941143848333313,-0.965156081666641,-0.938542223333313,-0.920700066666656,-0.941614075000001,-0.946341151666656,-0.943657490000009,-0.918789383333331,-0.959203094999993,-0.961349053333321,-0.93578497666667,-0.947555473333316,-0.953570273333315,-0.952004954999986,-0.963085574999987,-0.945587678333307,-0.945474959999997,-0.943862866666672,-0.923881621666659,-0.944111425000001,-0.938347081666637,-0.965867498333327,-0.941915648333334,-0.951355014999986,-0.968955286666648,-0.949754716666673,-0.940719008333328,-0.949562201666659,-0.926025298333323,-0.936850491666672,-0.948289111666654,-0.941044383333321,-0.944619519999997,-0.942495069999984,-0.931701848333309,-0.941816528333305,-0.945788479999974,-0.966213401666647,-0.945259406666673,-0.942545189999994,-0.93170907166666,-0.953022269999983,-0.931514051666666,-0.938185209999998,-0.930111081666665,-0.960714539999977,-0.956056138333329,-0.942520236666668,-0.951426709999983,-0.950473066666665,-0.952189063333308,-0.951195911666626,-0.958106659999993,-0.955694188333321,-0.936269009999993,-0.955102763333328,-0.956461489999998,-0.946140479999975,-0.930812664999995,-0.964329278333312,-0.940977686666662,-0.942458196666655,-0.934438428333315,-0.943052573333316,-0.96226477833332,-0.914744856666654,-0.953991293333312,-0.942908239999999,-0.954194976666653,-0.945469649999989,-0.940063701666669,-0.945408223333324,-0.927185956666662,-0.947891161666667,-0.94270515666665,-0.944456729999987,-0.960072359999981,-0.934043183333349,-0.957691190000001,-0.937031289999996,-0.922976326666675,-0.948151283333346,-0.945513583333319,-0.935009018333324,-0.954580735000009,-0.934411328333312,-0.944394273333319,-0.951361146666659,-0.930215466666657,-0.94140516666667,-0.925582849999982
"8",5.76774928333485,5.75430542166807,5.75845700166818,5.78154582166818,5.74373850833484,5.78747567666818,5.76954114166813,5.74822394500148,5.75355459833482,5.79567317000141,5.76048116333476,5.79187086333481,5.76984424000149,5.78637493666813,5.7270632383348,5.79734096833481,5.80655274000156,5.74205899500144,5.78766234166815,5.73487031833484,5.75703614666809,5.77208109000149,5.74371177333482,5.74564835666814,5.73285742333478,5.76164899666814,5.75959953833484,5.75992436000148,5.77768058166814,5.77514789166818,5.76252069000151,5.75443853166817,5.80216836500147,5.76119969000145,5.74296487166812,5.77960865666825,5.74308883166814,5.76943204166798,5.7824496633348,5.75371276166808,5.77756142833482,5.75808845833481,5.78659985166821,5.75980895666815,5.78061729666819,5.76343026166809,5.7659122666682,5.76578833000148,5.80722264000148,5.76594135666813,5.74436817333485,5.74119579000143,5.78117709000148,5.79693203500153,5.76624999000149,5.75603918833489,5.80133113000154,5.77159907166813,5.77254710000148,5.75503180666809,5.75941094666815,5.76827342666812,5.77388212333477,5.79748673666815,5.78685788833483,5.75738792166814,5.78397616833476,5.79284738500155,5.74106072166809,5.75816034166807,5.78396612166819,5.72548752166815,5.77419516500145,5.80050046333479,5.78155187333483,5.7113350016681,5.74221767333479,5.74900426500142,5.79378346000146,5.75306901333477,5.77719212833476,5.77782964333484,5.77432496166816,5.74740829166809,5.75490356166806,5.75888248500145,5.77546924833479,5.74157647833483,5.78926588166819,5.77765606833482,5.75317730833476,5.75789072666823,5.76145309000148,5.74072790333481,5.81759724166815,5.75466588166822,5.75548329166814,5.81391303000146,5.76472764500148,5.79559594333477
"9",-0.811919866666573,-0.809791838333265,-0.813873756666595,-0.818439213333259,-0.814890951666571,-0.811843621666601,-0.81103221833324,-0.813183646666594,-0.816907324999921,-0.809362141666592,-0.813059384999922,-0.805054103333257,-0.811048859999925,-0.80855026166658,-0.810545598333242,-0.808116973333249,-0.804630768333266,-0.812461903333263,-0.818884869999925,-0.81402982166659,-0.813721239999927,-0.816021038333249,-0.81189136833325,-0.80694789833326,-0.812247791666582,-0.821580104999916,-0.808242153333265,-0.810421076666584,-0.811354849999916,-0.80626753166658,-0.81987721166659,-0.808374773333268,-0.815470306666594,-0.8201719916666,-0.812246924999933,-0.810046173333256,-0.813991406666581,-0.814042358333254,-0.815001418333265,-0.806931909999927,-0.80621540666659,-0.807186233333269,-0.816776968333242,-0.806534291666591,-0.812582889999912,-0.818349576666589,-0.814357191666588,-0.820328439999913,-0.80985813333325,-0.808914443333259,-0.812973199999913,-0.81043075999993,-0.817955766666595,-0.808702143333255,-0.804949491666575,-0.812038711666582,-0.815400529999938,-0.812610378333253,-0.812513533333254,-0.802618246666588,-0.817036976666589,-0.804887244999928,-0.81159289999992,-0.816791959999918,-0.80919632166658,-0.809397691666589,-0.805015034999908,-0.814172136666602,-0.823154214999917,-0.811124444999916,-0.815183919999909,-0.808256438333251,-0.814959608333253,-0.815002749999921,-0.809277724999914,-0.812218861666582,-0.806639849999927,-0.805169966666584,-0.805970739999917,-0.810326541666585,-0.805934028333243,-0.809273513333268,-0.818053661666585,-0.813468529999914,-0.819161148333243,-0.814404781666567,-0.814173343333252,-0.809391789999932,-0.809352881666582,-0.811088909999924,-0.809845329999918,-0.814897739999919,-0.818331923333254,-0.806337506666599,-0.813509093333245,-0.810951188333264,-0.811372381666598,-0.818645433333246,-0.815405471666585,-0.809693774999919
"10",-0.21180241833331,-0.215083606666648,-0.212717998333311,-0.216121038333311,-0.217627646666641,-0.213052148333308,-0.218694904999974,-0.213484149999973,-0.210399241666642,-0.210870319999974,-0.212205853333311,-0.21188002166664,-0.20904318166664,-0.209323074999975,-0.207618551666639,-0.213777706666642,-0.208705971666641,-0.211848714999972,-0.210338919999977,-0.213540158333307,-0.207345259999973,-0.205736156666639,-0.211234384999974,-0.214642724999977,-0.206538554999971,-0.218194246666642,-0.216145008333309,-0.210075871666641,-0.214911836666644,-0.213168709999979,-0.212586194999974,-0.214015178333304,-0.213337676666641,-0.211979713333305,-0.209276704999975,-0.212721716666639,-0.212634726666642,-0.213641153333301,-0.202186208333306,-0.211181908333307,-0.213832324999976,-0.21591943833331,-0.213112463333307,-0.215058501666643,-0.212185289999977,-0.210029534999976,-0.219418946666646,-0.207989736666639,-0.209507908333301,-0.20998373833331,-0.208086201666643,-0.21270120666664,-0.215484024999976,-0.211751834999974,-0.214017294999975,-0.212799899999977,-0.212880214999969,-0.210303979999978,-0.220760956666642,-0.20947521666664,-0.210513333333305,-0.206449551666641,-0.213300856666642,-0.211335656666642,-0.209584419999976,-0.208305069999974,-0.216836931666641,-0.209041388333303,-0.207858081666644,-0.211779669999975,-0.211539633333307,-0.214384473333307,-0.208562528333308,-0.214737368333309,-0.211166969999973,-0.220574981666638,-0.210638164999974,-0.214228584999973,-0.218585096666638,-0.214226959999978,-0.207265436666641,-0.210648446666636,-0.213427011666638,-0.217669238333308,-0.208540083333305,-0.208505669999977,-0.211582419999976,-0.215344673333308,-0.21318769499998,-0.216140586666638,-0.217434824999975,-0.206361983333308,-0.208736509999971,-0.216082261666642,-0.208894051666642,-0.21196707666664,-0.213844103333306,-0.21198591833331,-0.213961199999972,-0.214360549999973
